"","zip","calls","percent"
"1",20707,1,0.15
"2",20814,10,1.52
"3",20815,6,0.91
"4",20816,4,0.61
"5",20817,18,2.73
"6",20832,2,0.3
"7",20833,1,0.15
"8",20837,2,0.3
"9",20841,3,0.46
"10",20850,43,6.53
"11",20851,6,0.91
"12",20852,56,8.5
"13",20853,20,3.03
"14",20854,8,1.21
"15",20855,12,1.82
"16",20860,2,0.3
"17",20861,1,0.15
"18",20866,5,0.76
"19",20871,14,2.12
"20",20872,8,1.21
"21",20874,62,9.41
"22",20876,22,3.34
"23",20877,50,7.59
"24",20878,43,6.53
"25",20879,20,3.03
"26",20882,8,1.21
"27",20886,25,3.79
"28",20889,1,0.15
"29",20895,14,2.12
"30",20901,19,2.88
"31",20902,40,6.07
"32",20903,6,0.91
"33",20904,40,6.07
"34",20905,4,0.61
"35",20906,51,7.74
"36",20910,31,4.7
"37",21794,1,0.15
