"county","cox","percent_cox","hogan","percent_hogan"
"Allegany",13833,66.0948922547661,19224,81.6999575010625
"Anne Arundel",73775,43.7709139236301,157202,68.5854646038934
"Baltimore City",11387,8.85644731008843,58360,31.5987243558159
"Baltimore County",80759,35.7383404212008,198122,61.0967200779583
"Calvert",18447,54.8039215686275,29610,75.3741981468282
"Caroline",6727,64.7075798383994,9489,82.477183833116
"Carroll",38969,58.2174283281294,62445,83.2034216732622
"Cecil",18159,65.2169228559115,27063,77.4578551189215
"Charles",15096,30.2452316076294,31756,49.3412057178372
"Dorchester",6169,56.6275013769047,9205,74.4319560119673
"Frederick",44307,44.7486693666488,72560,67.6745726037363
"Garrett",8195,74.5271007639141,9472,86.046511627907
"Harford",51930,53.7394057930521,85259,77.1023431212075
"Howard",33110,27.3189326556544,80574,56.1949464022932
"Kent",3718,45.1268357810414,6370,73.2689210950081
"Montgomery",58701,19.9531601596226,180018,44.0758224215774
"Prince George's",17937,8.83696182326076,89925,28.1909807671207
"Queen Anne's",12840,57.6974925856026,19503,84.9027034086457
"Saint Mary's",20670,56.6844919786096,30703,76.0088131900777
"Somerset",3974,61.8232731798382,5203,67.5538821085432
"Talbot",7497,46.8065180745458,14081,77.4106652006597
"Washington",27571,59.8874842521395,38765,76.821703890133
"Wicomico",14612,52.5838491435152,22659,67.570227232063
"Worcester",13433,59.5196951570739,18076,76.0934540096822
